h5_index,design_id,human_rating_modernity,ai_rating_modernity
848,848,3.5,3.4211549758911133
849,849,,3.286129895132035
852,852,,3.333189773373306
859,859,3.1818181818181817,3.588693503756076
860,860,,3.3705359399318695
862,862,3.25,3.6031421865336597
863,863,,3.258268445264548
867,867,,3.504323966568336
868,868,,3.5966956010088325
870,870,,3.1552819116041064
871,871,,3.5424072546884418
873,873,,3.887325483839959
874,874,,3.3247854383662343
876,876,,3.4409066792577505
879,879,3.4,3.526556366123259
882,882,,3.204576834104955
883,883,2.7777777777777777,3.1340286061167717
884,884,,3.101201254874468
887,887,,3.337742181494832
889,889,2.5454545454545454,3.377927742898464
890,890,,3.3621936086565256
891,891,,3.47396541852504
892,892,,3.481692306464538
898,898,,3.485717575997114
899,899,2.3,3.5414458836894482
902,902,,3.2495161183178425
903,903,,3.3673721812665462
904,904,3.8,3.472686268738471
905,905,,3.3627053555101156
908,908,,3.6757157328538597
909,909,,3.247537599876523
911,911,,3.4255449064075947
916,916,,3.3587712291628122
917,917,,3.2463651886209846
918,918,,3.298005578108132
919,919,,3.482491967268288
920,920,,3.4635221818462014
921,921,,3.9799525808775797
923,923,,3.453777185641229
924,924,,3.327090887352824
935,935,,3.772136280313134
937,937,2.7857142857142856,3.431252199690789
938,938,,3.2883314294740558
940,940,3.4615384615384617,3.7687261141836643
941,941,,3.358045279979706
942,942,,3.533711700234562
948,948,,3.595684352098033
951,951,,3.424329782370478
952,952,,3.4460585778579116
955,955,,4.023616522201337
956,956,,3.415885250084102
957,957,,3.303058004938066
958,958,,3.59160141274333
959,959,,3.4640042381361127
960,960,,3.7115964158438146
962,962,,3.403441369533539
964,964,,3.544365980196744
967,967,,3.4511295035481453
969,969,,3.5821356922388077
971,971,,3.323118709027767
972,972,,3.4676711168140173
975,975,,3.4584857183508575
976,976,3.6,3.4363343343138695
978,978,,3.359880056232214
981,981,,3.2601436246186495
983,983,2.7777777777777777,3.420674785040319
984,984,,3.4496999327093363
985,985,3.125,3.4427399318665266
